date,gt_score
2021-04-11,21
2021-04-12,15
2021-04-13,12
2021-04-14,11
2021-04-15,12
2021-04-16,14
2021-04-17,19
2021-04-18,25
2021-04-19,21
2021-04-20,21
2021-04-21,22
2021-04-22,19
2021-04-23,16
2021-04-24,21
2021-04-25,31
2021-04-26,24
2021-04-27,22
2021-04-28,22
2021-04-29,24
2021-04-30,19
2021-05-01,23
2021-05-02,28
2021-05-03,28
2021-05-04,26
2021-05-05,25
2021-05-06,21
2021-05-07,22
2021-05-08,29
2021-05-09,36
2021-05-10,36
2021-05-11,33
2021-05-12,32
2021-05-13,28
2021-05-14,28
2021-05-15,34
2021-05-16,39
2021-05-17,33
2021-05-18,31
2021-05-19,34
2021-05-20,28
2021-05-21,32
2021-05-22,35
2021-05-23,42
2021-05-24,34
2021-05-25,29
2021-05-26,32
2021-05-27,29
2021-05-28,28
2021-05-29,36
2021-05-30,38
2021-05-31,30
2021-06-01,30
2021-06-02,30
2021-06-03,29
2021-06-04,31
2021-06-05,37
2021-06-06,45
2021-06-07,37
2021-06-08,33
2021-06-09,35
2021-06-10,33
2021-06-11,32
2021-06-12,40
2021-06-13,43
2021-06-14,34
2021-06-15,36
2021-06-16,34
2021-06-17,31
2021-06-18,34
2021-06-19,42
2021-06-20,43
2021-06-21,32
2021-06-22,34
2021-06-23,40
2021-06-24,40
2021-06-25,34
2021-06-26,41
2021-06-27,54
2021-06-28,40
2021-06-29,41
2021-06-30,42
2021-07-01,43
2021-07-02,39
2021-07-03,52
2021-07-04,64
2021-07-05,45
2021-07-06,46
2021-07-07,53
2021-07-08,60
2021-07-09,80
2021-07-10,92
2021-07-11,92
2021-07-12,77
2021-07-13,66
2021-07-14,69
2021-07-15,56
2021-07-16,64
2021-07-17,81
2021-07-18,83
2021-07-19,66
2021-07-20,57
2021-07-21,62
2021-07-22,64
2021-07-23,58
2021-07-24,66
2021-07-25,68
2021-07-26,56
2021-07-27,58
2021-07-28,54
2021-07-29,56
2021-07-30,59
2021-07-31,70
2021-08-01,82
2021-08-02,66
2021-08-03,62
2021-08-04,61
2021-08-05,57
2021-08-06,53
2021-08-07,60
2021-08-08,71
2021-08-09,67
2021-08-10,63
2021-08-11,56
2021-08-12,58
2021-08-13,59
2021-08-14,64
2021-08-15,71
2021-08-16,60
2021-08-17,55
2021-08-18,54
2021-08-19,55
2021-08-20,58
2021-08-21,66
2021-08-22,66
2021-08-23,48
2021-08-24,66
2021-08-25,60
2021-08-26,58
2021-08-27,57
2021-08-28,68
2021-08-29,70
2021-08-30,54
2021-08-31,49
2021-09-01,48
2021-09-02,44
2021-09-03,45
2021-09-04,57
2021-09-05,61
2021-09-06,45
2021-09-07,46
2021-09-08,43
2021-09-09,40
2021-09-10,44
2021-09-11,57
2021-09-12,58
2021-09-13,49
2021-09-14,47
2021-09-15,48
2021-09-16,49
2021-09-17,71
2021-09-18,71
2021-09-19,100
2021-09-20,79
2021-09-21,59
2021-09-22,57
2021-09-23,57
2021-09-24,45
2021-09-25,61
2021-09-26,77
2021-09-27,48
2021-09-28,47
2021-09-29,45
2021-09-30,39
2021-10-01,40
2021-10-02,46
2021-10-03,47
2021-10-04,36
2021-10-05,39
2021-10-06,38
2021-10-07,36
2021-10-08,39
2021-10-09,39
2021-10-10,38
2021-10-11,34
2021-10-12,38
2021-10-13,34
2021-10-14,34
2021-10-15,34
2021-10-16,41
2021-10-17,42
2021-10-18,31
2021-10-19,31
2021-10-20,32
2021-10-21,31
2021-10-22,29
2021-10-23,31
2021-10-24,35
2021-10-25,27
2021-10-26,29
2021-10-27,31
2021-10-28,33
2021-10-29,34
2021-10-30,36
2021-10-31,38
2021-11-01,29
2021-11-02,30
2021-11-03,35
2021-11-04,27
2021-11-05,27
2021-11-06,32
2021-11-07,30
2021-11-08,25
2021-11-09,27
2021-11-10,28
2021-11-11,24
2021-11-12,25
2021-11-13,31
2021-11-14,28
2021-11-15,24
2021-11-16,26
2021-11-17,27
2021-11-18,24
2021-11-19,23
2021-11-20,26
2021-11-21,27
2021-11-22,24
2021-11-23,32
2021-11-24,25
2021-11-25,22
2021-11-26,22
2021-11-27,26
2021-11-28,26
2021-11-29,22
2021-11-30,24
2021-12-01,26
2021-12-02,21
2021-12-03,22
2021-12-04,29
2021-12-05,24
2021-12-06,20
2021-12-07,24
2021-12-08,25
2021-12-09,20
2021-12-10,20
2021-12-11,24
2021-12-12,24
2021-12-13,21
2021-12-14,25
2021-12-15,26
2021-12-16,27
2021-12-17,30
2021-12-18,32
