date,gt_score
2023-07-02,74
2023-07-03,64
2023-07-04,49
2023-07-05,54
2023-07-06,53
2023-07-07,47
2023-07-08,53
2023-07-09,72
2023-07-10,71
2023-07-11,50
2023-07-12,43
2023-07-13,46
2023-07-14,41
2023-07-15,49
2023-07-16,80
2023-07-17,94
2023-07-18,55
2023-07-19,49
2023-07-20,58
2023-07-21,50
2023-07-22,49
2023-07-23,80
2023-07-24,100
2023-07-25,62
2023-07-26,49
2023-07-27,69
2023-07-28,50
2023-07-29,49
2023-07-30,68
2023-07-31,71
2023-08-01,57
2023-08-02,49
2023-08-03,59
2023-08-04,49
2023-08-05,49
2023-08-06,71
2023-08-07,74
2023-08-08,57
2023-08-09,54
2023-08-10,64
2023-08-11,54
2023-08-12,52
2023-08-13,65
2023-08-14,70
2023-08-15,56
2023-08-16,55
2023-08-17,50
2023-08-18,46
2023-08-19,46
2023-08-20,67
2023-08-21,82
2023-08-22,59
2023-08-23,56
2023-08-24,58
2023-08-25,52
2023-08-26,49
2023-08-27,79
2023-08-28,86
2023-08-29,62
2023-08-30,56
2023-08-31,52
2023-09-01,44
2023-09-02,50
2023-09-03,68
2023-09-04,70
2023-09-05,47
2023-09-06,46
2023-09-07,49
2023-09-08,44
2023-09-09,47
2023-09-10,62
2023-09-11,51
2023-09-12,43
2023-09-13,42
2023-09-14,43
2023-09-15,36
2023-09-16,45
2023-09-17,59
2023-09-18,70
2023-09-19,46
2023-09-20,41
2023-09-21,44
2023-09-22,40
2023-09-23,46
2023-09-24,77
2023-09-25,83
2023-09-26,56
2023-09-27,47
2023-09-28,55
2023-09-29,48
2023-09-30,49
2023-10-01,48
2023-10-02,41
2023-10-03,39
2023-10-04,38
2023-10-05,35
2023-10-06,31
2023-10-07,41
2023-10-08,34
2023-10-09,40
2023-10-10,33
2023-10-11,28
2023-10-12,27
2023-10-13,22
2023-10-14,29
2023-10-15,27
2023-10-16,24
2023-10-17,21
2023-10-18,25
2023-10-19,22
2023-10-20,20
2023-10-21,22
2023-10-22,21
2023-10-23,19
2023-10-24,18
2023-10-25,18
2023-10-26,15
2023-10-27,17
2023-10-28,18
2023-10-29,21
2023-10-30,18
2023-10-31,16
2023-11-01,16
2023-11-02,13
2023-11-03,15
2023-11-04,16
2023-11-05,18
2023-11-06,16
2023-11-07,16
2023-11-08,14
2023-11-09,14
2023-11-10,11
2023-11-11,13
2023-11-12,12
2023-11-13,12
2023-11-14,13
2023-11-15,13
2023-11-16,10
2023-11-17,10
2023-11-18,14
2023-11-19,14
2023-11-20,11
2023-11-21,13
2023-11-22,10
2023-11-23,12
2023-11-24,10
2023-11-25,12
2023-11-26,11
2023-11-27,12
2023-11-28,10
2023-11-29,10
2023-11-30,9
2023-12-01,10
2023-12-02,10
2023-12-03,11
2023-12-04,10
2023-12-05,10
2023-12-06,9
2023-12-07,10
2023-12-08,10
2023-12-09,12
2023-12-10,11
2023-12-11,10
2023-12-12,10
2023-12-13,9
2023-12-14,9
2023-12-15,6
2023-12-16,9
2023-12-17,9
2023-12-18,8
2023-12-19,14
2023-12-20,11
2023-12-21,11
2023-12-22,9
2023-12-23,10
2023-12-24,9
2023-12-25,9
2023-12-26,7
2023-12-27,10
2023-12-28,10
2023-12-29,11
2023-12-30,12
2023-12-31,9
2024-01-01,11
2024-01-02,11
2024-01-03,10
2024-01-04,11
2024-01-05,14
2024-01-06,15
2024-01-07,15
2024-01-08,15
2024-01-09,9
2024-01-10,10
2024-01-11,9
2024-01-12,12
2024-01-13,13
2024-01-14,10
2024-01-15,9
2024-01-16,10
2024-01-17,9
2024-01-18,9
2024-01-19,10
2024-01-20,12
2024-01-21,10
2024-01-22,10
2024-01-23,12
2024-01-24,8
2024-01-25,10
2024-01-26,11
2024-01-27,10
2024-01-28,13
2024-01-29,11
2024-01-30,11
2024-01-31,9
2024-02-01,10
2024-02-02,9
2024-02-03,14
2024-02-04,14
2024-02-05,11
2024-02-06,9
2024-02-07,10
2024-02-08,12
2024-02-09,14
2024-02-10,11
2024-02-11,12
2024-02-12,13
2024-02-13,12
2024-02-14,11
2024-02-15,10
2024-02-16,9
2024-02-17,12
2024-02-18,12
2024-02-19,11
2024-02-20,10
2024-02-21,10
2024-02-22,15
2024-02-23,13
2024-02-24,16
2024-02-25,12
2024-02-26,12
2024-02-27,11
2024-02-28,11
2024-02-29,11
2024-03-01,10
2024-03-02,12
2024-03-03,12
2024-03-04,10
2024-03-05,12
2024-03-06,15
2024-03-07,10
2024-03-08,11
2024-03-09,12
2024-03-10,12
2024-03-11,10
2024-03-12,11
2024-03-13,11
2024-03-14,13
2024-03-15,13
2024-03-16,15
2024-03-17,16
2024-03-18,13
2024-03-19,15
2024-03-20,16
2024-03-21,13
2024-03-22,13
2024-03-23,17
