date,gt_score
2021-07-08,100
2021-07-09,81
2021-07-10,70
2021-07-11,73
2021-07-12,60
2021-07-13,61
2021-07-14,56
2021-07-15,65
2021-07-16,70
2021-07-17,73
2021-07-18,70
2021-07-19,53
2021-07-20,49
2021-07-21,56
2021-07-22,74
2021-07-23,54
2021-07-24,59
2021-07-25,57
2021-07-26,50
2021-07-27,47
2021-07-28,50
2021-07-29,62
2021-07-30,57
2021-07-31,55
2021-08-01,51
2021-08-02,40
2021-08-03,44
2021-08-04,48
2021-08-05,57
2021-08-06,58
2021-08-07,54
2021-08-08,56
2021-08-09,54
2021-08-10,48
2021-08-11,54
2021-08-12,59
2021-08-13,54
2021-08-14,50
2021-08-15,51
2021-08-16,44
2021-08-17,38
2021-08-18,47
2021-08-19,57
2021-08-20,49
2021-08-21,51
2021-08-22,52
2021-08-23,38
2021-08-24,42
2021-08-25,48
2021-08-26,58
2021-08-27,49
2021-08-28,42
2021-08-29,46
2021-08-30,45
2021-08-31,37
2021-09-01,39
2021-09-02,51
2021-09-03,47
2021-09-04,50
2021-09-05,46
2021-09-06,35
2021-09-07,35
2021-09-08,42
2021-09-09,51
2021-09-10,52
2021-09-11,52
2021-09-12,46
2021-09-13,44
2021-09-14,37
2021-09-15,43
2021-09-16,47
2021-09-17,48
2021-09-18,49
2021-09-19,47
2021-09-20,45
2021-09-21,38
2021-09-22,55
2021-09-23,72
2021-09-24,55
2021-09-25,63
2021-09-26,58
2021-09-27,41
2021-09-28,40
2021-09-29,43
2021-09-30,43
2021-10-01,42
2021-10-02,39
2021-10-03,38
2021-10-04,31
2021-10-05,27
2021-10-06,34
2021-10-07,30
2021-10-08,25
2021-10-09,28
2021-10-10,33
2021-10-11,24
2021-10-12,19
2021-10-13,20
2021-10-14,22
2021-10-15,21
2021-10-16,25
2021-10-17,67
2021-10-18,28
2021-10-19,21
2021-10-20,26
2021-10-21,23
2021-10-22,21
2021-10-23,28
2021-10-24,25
2021-10-25,19
2021-10-26,19
2021-10-27,18
2021-10-28,18
2021-10-29,25
2021-10-30,24
2021-10-31,21
2021-11-01,18
2021-11-02,19
2021-11-03,23
2021-11-04,14
2021-11-05,16
2021-11-06,19
2021-11-07,26
2021-11-08,18
2021-11-09,19
2021-11-10,13
2021-11-11,15
2021-11-12,15
2021-11-13,17
2021-11-14,20
2021-11-15,15
2021-11-16,15
2021-11-17,16
2021-11-18,12
2021-11-19,18
2021-11-20,14
2021-11-21,14
2021-11-22,18
2021-11-23,14
2021-11-24,14
2021-11-25,17
2021-11-26,19
2021-11-27,16
2021-11-28,22
2021-11-29,18
2021-11-30,14
2021-12-01,12
2021-12-02,12
2021-12-03,14
2021-12-04,15
2021-12-05,15
2021-12-06,14
2021-12-07,11
2021-12-08,10
2021-12-09,11
2021-12-10,11
2021-12-11,11
2021-12-12,13
2021-12-13,7
2021-12-14,12
2021-12-15,10
2021-12-16,10
2021-12-17,15
2021-12-18,18
2021-12-19,18
2021-12-20,13
2021-12-21,13
2021-12-22,14
2021-12-23,13
2021-12-24,14
2021-12-25,18
2021-12-26,17
2021-12-27,16
2021-12-28,12
